Emotion,clean_text
sadness,sorry usually policy
fear,sister still born child emotionally deep took long time recover
anger,person ignored advice pay attention saying acted though even group work everybody right speak yet ignored made feel insignificant
sadness,bert lanky lugubrious individual declined
fear,tug one glimpse girl horror mouth eyes opened wide
neutral,okay
neutral,oh sure
joy,friend said joan thrilled katy found nice chap
neutral,yes think pitied rather accused
anger,smells like ashtray
fear,awesome time teamoneill fighting fear premiere last night leicester square check hd trailer facebook page
anger,earth heart thumping body drowning wave heat could stay angry
neutral,sixties party
sadness,taking walk young man came nowhere snatched bag hands ran away
fear,going long long day work also looking forward photos last night
anger,want
sadness,decided longer girl liked quite lot made feel low time
neutral,well last week invited dinner husband problem food listened would seem like fed old meat rotten vegetables nothing please
neutral,still waiting call
sadness,sorry buy ticket next counter
fear,je ferais bien mon shopping coiffure pour le prochain grand webze mais rien qui branche surtout pas sylvie tellier en tout cas
neutral,yup
fear,walked past asian girl grabs bf arm know races even afraid boss scandalous
anger,rights
sadness,close relative odds powerful firm things taken dad died little event gathhered children vowed give good life new start words hollow bit back tears asked excused went cried loo
joy,interesting ms parker
anger,lenin furious learned
fear,told told tell felt butterflies
sadness,several years ago mother died ill long time nevertheless death came unexpectedly still want believe true
neutral,certainly
fear,phew wait minute crash spyware trojans
sadness,sorry bob told coming would kept tonight free tell
neutral,yes course nice see
sadness,julie devastated husband tim last night preparing fly home northampton identify wife body
neutral,toilet work properly water run shower
joy,ex colleague asked interested working accounts bureau needed clever people immediately thought
anger,oh god cheated
sadness,sorry already gone paycheck week
neutral,well think personal development much important simply superior living environment
sadness,maybe tonight know know tell
sadness,losing pet chick family put chick outside days one morning gone
sadness,time perhaps would make efforts conceal resentment ability make feel guilty would make efforts conceal anguish loss
sadness,afraid quite understand
joy,passed grade exam
sadness,realized could communicate properly closest friend
fear,every time went home school report
joy,happy understood girl liked love
sadness,death relative
anger,british however remained suspicious american motives resentful advice
neutral,oh
anger,oh god save
joy,looking dead man wycliffe felt guilty experiencing sense mild elation
neutral,meek lamb never goes anyone anything good gold know
joy,within next months long next election settle questions see spectre winter discontent raised haunt gleeful conservative politicians
neutral,hey guys
fear,getting agitated
neutral,explain feelings
fear,call someone make appointment conversation afraid fail
sadness,loss mother
joy,gave birth son saw alive managed well born month early malfunctioning lung happened year ago
anger,boyfriend told double crossing certain boy
sadness,spent weekend san diego visiting boyfriend rob airport plane leave saying goodbye boarded plane hardest thing sad trip home
fear,keep saying muslim hell fire
joy,let get soft drink
anger,friend unpunctual wanted prepare examination
joy,happy passed first class marks
neutral,yes think science making us wiser think
sadness,morning sleep feeling someboby attacking started crying sleep room mate woke
neutral,use stairs never elevator
fear,ex quadruple hoe sumbodi need gne stop playin lil scary da loudest dog da pound keep tail tucked ass
fear,dark night felt several people near know
anger,certain area party secretary came home morning said leave home build somewhere reason wanted establish market chairman knew nothing angry
